timestamp_iso,video_path,video_fps,video_duration_s,wall_duration_s,play_to_first_flip_ms,flip_count,expected_frames,flip_interval_mean_ms,flip_interval_p50_ms,flip_interval_p99_ms,flip_interval_max_ms,exited_via
2026-05-07T16:59:15.059885+00:00,session_intro_2025_06_17.mp4,,17.020,15.968,39.10,948,,16.861,16.723,29.898,42.776,finished
2026-05-07T16:59:34.633368+00:00,oculomotor_intro_2025_06_17.mp4,,8.070,7.010,17.51,415,,16.931,16.656,30.128,49.428,finished
2026-05-07T16:59:42.617894+00:00,oculomotor_calibration_2025_06_17.mp4,,18.550,2.462,13.76,146,,16.977,16.686,24.193,49.318,keypress
2026-05-07T16:59:47.961389+00:00,countdown_2025_06_17.mp4,,5.510,4.650,6.51,278,,16.788,16.674,18.577,32.675,finished
2026-05-07T17:00:06.766316+00:00,oculomotor_smooth_pursuit_2025_06_17.mp4,,20.690,9.192,12.46,491,,18.759,16.925,34.642,48.736,keypress
2026-05-07T17:00:11.718315+00:00,countdown_2025_06_17.mp4,,5.510,4.451,9.48,268,,16.670,16.672,18.286,18.408,finished
2026-05-07T17:06:33.553579+00:00,session_intro_2025_06_17.mp4,,17.020,15.850,44.98,946,,16.773,16.698,19.909,32.327,finished
2026-05-07T17:06:53.394475+00:00,oculomotor_intro_2025_06_17.mp4,,8.070,6.993,24.02,416,,16.851,16.584,19.041,49.950,finished
2026-05-07T17:07:01.559589+00:00,oculomotor_calibration_2025_06_17.mp4,,18.550,2.179,24.87,130,,16.893,17.007,18.929,32.059,keypress
2026-05-07T17:07:06.655089+00:00,countdown_2025_06_17.mp4,,5.510,4.583,8.48,269,,17.101,16.801,31.762,38.687,finished
2026-05-08T13:32:13.669477+00:00,session_intro_2025_06_17.mp4,,17.020,16.417,44.53,874,,18.805,17.564,33.064,35.211,finished
2026-05-08T13:32:33.425466+00:00,oculomotor_intro_2025_06_17.mp4,,8.070,7.492,14.54,407,,18.452,17.334,31.527,33.471,finished
2026-05-08T13:32:39.679795+00:00,oculomotor_calibration_2025_06_17.mp4,,18.550,2.004,18.90,117,,17.280,16.668,31.727,33.758,keypress
2026-05-08T13:32:45.240601+00:00,countdown_2025_06_17.mp4,,5.510,4.985,4.58,295,,16.957,16.712,30.618,32.140,finished
2026-05-08T13:32:54.644933+00:00,oculomotor_smooth_pursuit_2025_06_17.mp4,,20.690,0.997,13.02,60,,16.896,16.638,19.624,29.870,keypress
2026-05-08T13:33:00.366079+00:00,countdown_2025_06_17.mp4,,5.510,5.068,18.88,305,,16.670,16.681,18.561,19.908,finished
2026-05-08T13:35:44.027188+00:00,oculomotor_fixation_no_target_2025_06_17.mp4,,24.690,24.035,21.64,1401,,17.168,16.980,30.926,33.499,finished
2026-05-08T13:35:50.359745+00:00,countdown_2025_06_17.mp4,,5.510,5.085,3.18,305,,16.725,16.713,18.693,25.113,finished
2026-05-08T13:36:10.389742+00:00,oculomotor_gaze_holding_2025_06_17.mp4,,24.060,4.978,16.05,297,,16.817,16.705,23.225,33.353,keypress
2026-05-08T13:36:15.982121+00:00,countdown_2025_06_17.mp4,,5.510,5.051,10.09,304,,16.671,16.751,18.556,19.809,finished
2026-05-08T13:37:14.042815+00:00,oculomotor_horizontal_saccades_2025_06_17.mp4,,24.390,3.479,17.53,206,,16.972,16.888,29.789,31.613,keypress
2026-05-08T13:37:19.570792+00:00,countdown_2025_06_17.mp4,,5.510,5.050,9.34,302,,16.777,16.707,19.190,31.710,finished
2026-05-08T13:38:59.622538+00:00,oculomotor_vertical_saccades_2025_06_17.mp4,,23.260,17.905,24.65,1032,,17.367,16.885,32.506,33.775,keypress
2026-05-08T13:39:05.308992+00:00,countdown_2025_06_17.mp4,,5.510,5.035,19.28,299,,16.895,16.692,29.746,31.579,finished
